# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

chitin degradation II (Vibrio)|PWY-6902|Chitin Degradation|Chitin-Degradation|0.11939237|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6902
NAD salvage pathway I (PNC VI cycle)|PYRIDNUCSAL-PWY|NAD Biosynthesis|NAD-SYN|0.15807347|1.2857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSAL-PWY
vitamin B6 degradation I|PWY-5499|Vitamin B6 Degradation|Vitamin-B6-Degradation|0.15888888|0.11111111|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5499
tRNA-uridine 2-thiolation and selenation (bacteria)|PWY-7892|||0.16000001|0.45454547|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7892
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|PWY-6147|6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis|6-HM-Dihydropterin-PP-Biosynthesis|0.16033423|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6147
phenylacetate degradation I (aerobic)|PWY0-321|Phenylacetate Degradation|Phenylacetate-Degradation|0.16056074|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-321
D-xylose degradation I|XYLCAT-PWY|D-xylose Degradation|Xylose-Degradation|0.16098094|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=XYLCAT-PWY
androstenedione degradation I (aerobic)|PWY-6944|Androstenedione Degradation|Androstenedione-Degradation|0.16148727|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6944
(2S)-ethylmalonyl-CoA biosynthesis|PWY-8425|||0.16171736|1.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8425
UDP-N-acetyl-D-glucosamine biosynthesis I|UDPNAGSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|0.16564314|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNAGSYN-PWY
gallate degradation III (anaerobic)|P3-PWY|Gallate Degradation|GALLATE-DEG|0.1675269|0.54545456|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P3-PWY
phenylethanol biosynthesis|PWY-5751|||0.16925554|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
petrobactin biosynthesis|PWY-6289|||0.1714178|0.3|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6289
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate|PWY-6690|||0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6690
phospholipases|LIPASYN-PWY|||0.17600001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=LIPASYN-PWY
CDP-diacylglycerol biosynthesis I|PWY-5667|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|0.17641555|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5667
lipoate salvage II|PWY-6984|Lipoate Biosynthesis and Salvage|Lipoate-Biosynthesis|0.17641555|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6984
pyridoxal 5'-phosphate salvage I|PLPSAL-PWY|Vitamin B6 Biosynthesis|Vitamin-B6-Biosynthesis|0.17784376|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PLPSAL-PWY
formate assimilation into 5,10-methylenetetrahydrofolate|PWY-1722|||0.17926179|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1722
L-arginine degradation XIV (oxidative Stickland reaction)|PWY-6344|L-arginine Degradation|ARGININE-DEG|0.18173759|0.8333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6344
quinate degradation II|PWY-6416|Quinate Degradation|Quinate-Degradation|0.18176955|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6416
quinate degradation I|QUINATEDEG-PWY|Quinate Degradation|Quinate-Degradation|0.18176955|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=QUINATEDEG-PWY
(S)-lactate fermentation to propanoate, acetate and hydrogen|PWY-8086|||0.1898712|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8086
heterolactic fermentation|P122-PWY|Pyruvate Fermentation to Ethanol|Pyruvate-Ethanol-Fermentation|0.19131516|1.2222222|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P122-PWY
4-chloronitrobenzene degradation|PWY-5645|Nitrobenzene Degradation|Nitrobenzene-Degradation|0.19180864|0.11111111|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5645
(aminomethyl)phosphonate degradation|PWY-7805|||0.19574054|0.625|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7805
adipate degradation|PWY-8354|||0.1976371|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8354
adipate biosynthesis|PWY-8347|||0.19763711|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8347
L-lysine degradation I|PWY0-461|L-lysine Degradation|LYSINE-DEG|0.20054302|0.5714286|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-461
thiamine diphosphate biosynthesis III (Staphylococcus)|PWY-6907|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.20149505|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6907
4-aminobenzoate biosynthesis I|PWY-6543|4-Aminobenzoate Biosynthesis|4-Aminobenzoate-Biosynthesis|0.21156943|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6543
UDP-N-acetyl-alpha-D-galactosaminuronate biosynthesis|PWY-7336|||0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7336
guanine and guanosine salvage II|PWY-6599|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|0.21156943|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6599
NAD salvage pathway IV (from nicotinamide riboside)|PWY3O-4106|NAD Biosynthesis|NAD-SYN|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-4106
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|Folate Biosynthesis|Folate-Biosynthesis|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
L-threonine degradation III (to methylglyoxal)|THRDLCTCAT-PWY|L-threonine Degradation|THREONINE-DEG|0.21189249|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=THRDLCTCAT-PWY
